iter	Passed	Remaining
0	2	1309
1	5	1185
2	7	1189
3	10	1206
4	13	1221
5	16	1222
6	19	1224
7	22	1226
8	25	1238
9	28	1237
10	30	1229
11	33	1238
12	36	1232
13	39	1232
14	42	1230
15	45	1229
16	48	1230
17	51	1231
18	54	1229
19	57	1227
20	59	1224
21	62	1222
22	65	1222
23	68	1220
24	71	1216
25	74	1212
26	77	1212
27	80	1213
28	83	1210
29	86	1210
30	89	1210
31	92	1210
32	95	1211
33	99	1214
34	101	1206
35	104	1202
36	107	1200
37	110	1201
38	113	1198
39	120	1238
40	124	1238
41	127	1238
42	130	1234
43	133	1232
44	136	1224
45	139	1222
46	142	1220
47	146	1222
48	148	1219
49	151	1213
50	155	1213
51	157	1209
52	160	1202
53	163	1197
54	166	1193
55	169	1191
56	172	1190
57	175	1188
58	178	1185
59	181	1180
60	184	1176
61	187	1172
62	189	1166
63	193	1165
64	196	1162
65	199	1159
66	202	1156
67	205	1152
68	208	1152
69	211	1149
70	214	1147
71	217	1142
72	220	1139
73	223	1137
74	227	1135
75	229	1131
76	232	1127
77	235	1123
78	238	1118
79	241	1117
80	244	1114
81	247	1111
82	250	1107
83	253	1103
84	256	1100
85	259	1096
86	262	1094
87	265	1092
88	269	1094
89	274	1098
90	277	1094
91	280	1090
92	282	1085
93	285	1082
94	291	1089
95	294	1086
96	297	1082
97	300	1078
98	302	1072
99	305	1068
100	307	1064
101	310	1060
102	314	1058
103	317	1056
104	321	1055
105	324	1054
106	327	1051
107	331	1049
108	334	1045
109	337	1041
110	340	1039
111	342	1033
112	345	1029
113	348	1026
114	351	1025
115	354	1021
116	357	1017
117	359	1012
118	362	1008
119	365	1005
120	368	1001
121	371	998
122	374	995
123	377	991
124	380	988
125	383	986
126	386	983
127	389	980
128	392	977
129	395	973
130	397	968
131	400	965
132	403	962
133	406	957
134	409	955
135	412	951
136	415	949
137	418	945
138	421	944
139	424	939
140	427	936
141	430	934
142	433	929
143	436	927
144	439	925
145	442	921
146	445	918
147	448	914
148	450	910
149	453	907
150	456	903
151	459	900
152	462	897
153	465	894
154	468	890
155	471	888
156	474	885
157	476	881
158	480	879
159	484	877
160	486	873
161	489	871
162	492	867
163	495	864
164	498	861
165	502	859
166	505	855
167	507	852
168	510	849
169	513	846
170	516	843
171	520	840
172	523	837
173	526	834
174	528	830
175	531	827
176	534	824
177	537	821
178	540	818
179	543	815
180	546	812
181	549	808
182	552	805
183	555	802
184	557	799
185	560	796
186	563	792
187	566	789
188	569	786
189	572	783
190	575	780
191	578	777
192	581	774
193	584	771
194	587	767
195	590	764
196	592	761
197	595	758
198	598	754
199	601	751
200	604	748
201	606	744
202	609	741
203	612	738
204	616	736
205	618	732
206	621	730
207	624	726
208	627	723
209	630	720
210	633	717
211	636	714
212	639	711
213	642	708
214	644	704
215	647	701
216	651	699
217	653	695
218	657	693
219	659	689
220	662	686
221	664	682
222	667	679
223	671	677
224	673	673
225	676	670
226	679	667
227	681	663
228	684	660
229	687	657
230	691	655
231	693	651
232	696	648
233	699	645
234	702	642
235	705	639
236	708	636
237	711	633
238	714	630
239	717	628
240	720	624
241	723	621
242	726	618
243	729	615
244	732	612
245	734	609
246	737	606
247	740	602
248	743	599
249	746	597
250	749	594
251	751	590
252	755	587
253	758	585
254	761	582
255	764	579
256	767	576
257	770	573
258	773	570
259	775	567
260	778	563
261	781	560
262	784	557
263	787	554
264	790	551
265	792	548
266	795	545
267	798	542
268	801	539
269	804	536
270	807	533
271	809	529
272	812	527
273	815	523
274	818	520
275	820	517
276	823	514
277	826	511
278	829	508
279	833	505
280	835	502
281	838	499
282	841	496
283	845	494
284	848	491
285	851	488
286	854	485
287	857	482
288	860	479
289	863	476
290	866	473
291	869	470
292	872	467
293	874	464
294	877	461
295	880	457
296	883	454
297	885	451
298	888	448
299	891	445
300	894	442
301	897	439
302	900	436
303	902	433
304	905	430
305	908	427
306	911	424
307	914	421
308	916	418
309	919	415
310	922	412
311	925	409
312	928	406
313	931	403
314	934	400
315	937	397
316	940	394
317	944	391
318	947	389
319	950	386
320	954	383
321	957	380
322	960	377
323	963	374
324	966	371
325	968	368
326	971	365
327	974	362
328	977	359
329	980	356
330	982	353
331	985	350
332	988	347
333	991	344
334	994	341
335	997	338
336	1000	335
337	1003	332
338	1005	329
339	1008	326
340	1012	323
341	1015	320
342	1018	317
343	1020	314
344	1023	311
345	1027	308
346	1029	305
347	1032	302
348	1035	299
349	1037	296
350	1040	293
351	1043	290
352	1046	287
353	1049	284
354	1052	281
355	1055	278
356	1057	275
357	1060	272
358	1063	269
359	1066	266
360	1069	263
361	1072	260
362	1075	257
363	1078	254
364	1080	251
365	1083	248
366	1086	245
367	1090	242
368	1093	239
369	1095	236
370	1098	234
371	1102	231
372	1104	228
373	1108	225
374	1110	222
375	1113	219
376	1116	216
377	1118	213
378	1122	210
379	1124	207
380	1127	204
381	1130	201
382	1133	198
383	1136	195
384	1139	192
385	1141	189
386	1144	186
387	1147	183
388	1150	180
389	1153	177
390	1156	174
391	1159	171
392	1161	168
393	1164	165
394	1167	162
395	1170	159
396	1174	156
397	1177	153
398	1180	150
399	1183	147
400	1186	144
401	1189	142
402	1192	139
403	1195	136
404	1198	133
405	1201	130
406	1205	127
407	1207	124
408	1211	121
409	1214	118
410	1216	115
411	1219	112
412	1223	109
413	1227	106
414	1230	103
415	1232	100
416	1235	97
417	1239	94
418	1242	91
419	1245	88
420	1248	85
421	1251	83
422	1254	80
423	1256	77
424	1259	74
425	1262	71
426	1266	68
427	1269	65
428	1271	62
429	1274	59
430	1277	56
431	1280	53
432	1283	50
433	1285	47
434	1289	44
435	1292	41
436	1295	38
437	1298	35
438	1300	32
439	1303	29
440	1306	26
441	1309	23
442	1312	20
443	1315	17
444	1318	14
445	1320	11
446	1323	8
447	1326	5
448	1329	2
449	1332	0
